qlc_ratio,tlc_ratio,wafer_qlc_dedicated,wafer_tlc_dedicated,wafer_qlc_combo,wafer_tlc_combo,combo_bit_total,combo_cost_total,combo_cost_per_bit,dedicated_bit_total,dedicated_cost_total,dedicated_cost_per_bit,combo_bit_total_gb,dedicated_bit_total_gb,combo_cost_per_gb,dedicated_cost_per_gb,five_year_combo_bit_total,five_year_combo_bit_total_gb,five_year_combo_sale_bit_total,five_year_combo_sale_bit_total_gb,five_year_combo_cost_total,five_year_combo_cost_per_bit,five_year_combo_cost_per_gb,five_year_dedicated_bit_total,five_year_dedicated_bit_total_gb,five_year_dedicated_sale_bit_total,five_year_dedicated_sale_bit_total_gb,five_year_dedicated_cost_total,five_year_dedicated_cost_per_bit,five_year_dedicated_cost_per_gb,one_year_combo_bit_total,one_year_combo_bit_total_gb,one_year_combo_sale_bit_total,one_year_combo_sale_bit_total_gb,one_year_combo_cost_total,one_year_combo_cost_per_bit,one_year_combo_cost_per_gb,one_year_dedicated_bit_total,one_year_dedicated_bit_total_gb,one_year_dedicated_sale_bit_total,one_year_dedicated_sale_bit_total_gb,one_year_dedicated_cost_total,one_year_dedicated_cost_per_bit,one_year_dedicated_cost_per_gb
50,50,42500.0,37500.0,40000.0,39000.0,1115088000.0,39554.0,3.547163990644685e-05,1418976000.0,48192.0,3.39625194506461e-05,139386000.0,177372000.0,0.0002837731192515748,0.0002717001556051688,60297083484.67483,7537135435.584353,60281727876.13414,7535215984.5167675,2370054.0,3.9306279226629184e-05,0.00031445023381303347,76371559515.2387,9546444939.404837,76341796119.3901,9542724514.923763,2886092.0,3.779014096764814e-05,0.0003023211277411851,7998681770.250299,999835221.2812874,7990639644.480702,998829955.5600878,474054.0,5.926651586054606e-05,0.00047413212688436846,9708983745.58781,1213622968.1984763,9694569704.635698,1211821213.0794623,577292.0,5.9459570139083495e-05,0.00047567656111266796
55,45,46750.00000000001,33750.0,44000.0,35100.0,1163323200.0,39604.0,3.404384955101042e-05,1451049600.0,48652.0,3.352883319770737e-05,145415400.0,181381200.0,0.00027235079640808334,0.00026823066558165896,63130510942.55418,7891313867.819272,63115155334.01349,7889394416.751686,2373054.0,3.758965299931389e-05,0.00030071722399451113,78097812003.84172,9762226500.480215,78068048607.99313,9758506075.999142,2913692.0,3.730824110484263e-05,0.00029846592883874104,8459686752.369782,1057460844.0462228,8451644626.600185,1056455578.3250232,474654.0,5.6107751255333045e-05,0.00044886201004266436,9928439226.908485,1241054903.3635607,9914025185.956373,1239253148.2445467,582812.0,5.870127083222081e-05,0.0004696101666577665
60,40,51000.0,30000.0,48000.0,31200.0,1211558400.0,39654.0,3.2729747076162405e-05,1483123200.0,49112.0,3.3113904495594165e-05,151444800.0,185390400.0,0.00026183797660929924,0.0002649112359647533,65963938400.43352,8245492300.05419,65948582791.89282,8243572848.986603,2376054.0,3.6020499345812025e-05,0.0002881639947664962,79824064492.44473,9978008061.555592,79794301096.59616,9974287637.07452,2941292.0,3.684718410045871e-05,0.00029477747280366967,8920691734.489265,1115086466.8111582,8912649608.71967,1114081201.0899587,475254.0,5.327546496899656e-05,0.0004262037197519725,10147894708.22916,1268486838.528645,10133480667.277046,1266685083.4096308,588332.0,5.797576905512314e-05,0.0004638061524409851
65,35,55250.0,26250.0,52000.0,27300.0,1259793600.0,39704.0,3.151627377691076e-05,1515196799.9999998,49572.0,3.2716542167987686e-05,157474200.0,189399599.99999997,0.00025213019021528605,0.0002617323373439015,68797365858.31287,8599670732.289108,68782010249.77217,8597751281.221521,2379054.0,3.4580597241173825e-05,0.0002766447779293906,81550316981.04776,10193789622.63097,81520553585.19917,10190069198.149897,2968892.0,3.640564635315849e-05,0.0002912451708252679,9381696716.60875,1172712089.5760937,9373654590.839151,1171706823.854894,475854.0,5.072152877821971e-05,0.00040577223022575766,10367350189.549835,1295918773.6937294,10352936148.597721,1294117018.5747151,593852.0,5.728098203903595e-05,0.0004582478563122876
70,30,59499.99999999999,22500.0,56000.0,23400.0,1308028800.0,39754.0,3.039229717266164e-05,1547270399.9999998,50031.99999999999,3.233565380685884e-05,163503600.0,193408799.99999997,0.00024313837738129313,0.0002586852304548707,71630793316.1922,8953849164.524025,71615437707.6515,8951929713.456438,2382054.0,3.3254608663695126e-05,0.000266036869309561,83276569469.65076,10409571183.706345,83246806073.80219,10405850759.225273,2996491.9999999995,3.5982414010126084e-05,0.00028785931208100867,9842701698.728231,1230337712.341029,9834659572.958633,1229332446.6198292,476454.0,4.8406831232278664e-05,0.0003872546498582293,10586805670.870508,1323350708.8588135,10572391629.918396,1321548953.7397995,599371.9999999999,5.661499971130726e-05,0.00045291999769045806
75,25,63750.0,18750.0,60000.0,19500.0,1356264000.0,39804.0,2.9348268478703263e-05,1579343999.9999998,50492.0,3.1970235743447916e-05,169533000.0,197417999.99999997,0.0002347861478296261,0.00025576188594758333,74464220774.07155,9308027596.758944,74448865165.53085,9306108145.691357,2385054.0,3.2029530091188116e-05,0.0002562362407295049,85002821958.25378,10625352744.781723,84973058562.4052,10621632320.30065,3024092.0,3.5576371823104634e-05,0.00028461097458483707,10303706680.847715,1287963335.1059644,10295664555.07812,1286958069.384765,477054.0,4.629926052599465e-05,0.0003703940842079572,10806261152.191181,1350782644.0238976,10791847111.239069,1348980888.9048836,604892.0,5.597606715967125e-05,0.00044780853727737
80,20,68000.0,15000.0,64000.0,15600.0,1404499200.0,39854.0,2.8375950659138858e-05,1611417599.9999998,50952.0,3.1619364216947864e-05,175562400.0,201427199.99999997,0.00022700760527311086,0.0002529549137355829,77297648231.9509,9662206028.993862,77282292623.41019,9660286577.926273,2388054.0,3.089426463317548e-05,0.00024715411706540384,86729074446.85681,10841134305.857101,86699311051.00821,10837413881.376026,3051692.0,3.5186493335287726e-05,0.0002814919466823018,10764711662.9672,1345588957.8709,10756669537.197601,1344583692.1497002,477654.0,4.4372205680457476e-05,0.0003549776454436598,11025716633.511856,1378214579.188982,11011302592.559744,1376412824.069968,610412.0,5.5362569190713425e-05,0.0004429005535257074
85,15,72250.0,11250.0,68000.0,11700.0,1452734400.0,39904.0,2.746820065663758e-05,1643491199.9999998,51412.0,3.128218757727453e-05,181591800.0,205436399.99999997,0.00021974560525310063,0.00025025750061819624,80131075689.83023,10016384461.228779,80115720081.28954,10014465010.161192,2391054.0,2.9839284939281785e-05,0.00023871427951425428,88455326935.45982,11056915866.932478,88425563539.61124,11053195442.451405,3079292.0,3.481183221725879e-05,0.00027849465773807034,11225716645.086681,1403214580.6358352,11217674519.317083,1402209314.9146354,478254.0,4.2603427034595976e-05,0.0003408274162767678,11245172114.832531,1405646514.3540664,11230758073.880419,1403844759.2350523,615932.0,5.4773016696434334e-05,0.00043818413357147467
90,10,76500.0,7500.0,72000.0,7800.0,1500969600.0,39954.0,2.6618793611809327e-05,1675564799.9999998,51872.0,3.095791938336256e-05,187621200.0,209445599.99999997,0.00021295034889447462,0.0002476633550669005,82964503147.70956,10370562893.463696,82949147539.16887,10368643442.396109,2394054.0,2.8856365182319466e-05,0.00023085092145855573,90181579424.06285,11272697428.007856,90151816028.21426,11268977003.526783,3106892.0,3.445151459801333e-05,0.00027561211678410664,11686721627.206163,1460840203.4007704,11678679501.436567,1459834937.679571,478854.0,4.097419407040974e-05,0.0003277935525632779,11464627596.153206,1433078449.5191507,11450213555.201092,1431276694.4001365,621452.0,5.420603458663755e-05,0.0004336482766931004
95,5,80750.0,3750.0,76000.0,3900.0,1549204800.0,40004.0,2.5822279920640576e-05,1707638399.9999998,52332.0,3.064583227924601e-05,193650600.0,213454799.99999997,0.0002065782393651246,0.0002451666582339681,85797930605.58891,10724741325.698614,85782574997.04822,10722821874.631027,2397054.0,2.7938366148004215e-05,0.00022350692918403372,91907831912.66586,11488478989.083233,91878068516.81728,11484758564.60216,3134492.0,3.4104732260233356e-05,0.00027283785808186685,12147726609.325647,1518465826.165706,12139684483.55605,1517460560.4445062,479454.0,3.94686195548663e-05,0.0003157489564389304,11684083077.473879,1460510384.6842349,11669669036.521767,1458708629.5652208,626972.0,5.3660351081272227e-05,0.0004292828086501778
100,0,85000.0,0.0,80000.0,0.0,1597440000.0,40054.0,2.5073868189102565e-05,1739711999.9999998,52792.0,3.0345252547548105e-05,199680000.0,217463999.99999997,0.00020059094551282052,0.00024276202038038484,88631358063.46826,11078919757.933533,88622805197.6054,11077850649.700674,2400054.0,2.7079061547058085e-05,0.00021663249237646468,93634084401.26889,11704260550.158611,93616734175.25288,11702091771.90661,3162092.0,3.377073658827969e-05,0.00027016589270623754,12608731591.445131,1576091448.9306414,12602427225.649408,1575303403.206176,480054.0,3.8073139753859994e-05,0.00030458511803087995,11903538558.794554,1487942319.8493192,11895136060.988346,1486892007.6235433,632492.0,5.313478818722381e-05,0.0004250783054977905
